0.000000,
0.126847,
-0.089185,
-0.070407,
0.138790,
0.145801,
0.067991,
0.129066,
0.264551,
0.302499,
0.421356,
0.582271,
0.681548,
0.311596,
16.890955,
-1.759692,
-1.199954,
-0.710533,
-0.525375,
-0.316548,
-0.404103,
-0.302644,
-0.172529,
-0.150545,
-0.138787,
0.042024,
0.268189,
0.562217,
7.685784,
-0.835923,
-0.526754,
-0.694838,
-0.466919,
-0.339532,
-0.582072,
-0.496008,
-0.593708,
-0.496313,
-0.804448,
-0.943835,
-1.308396,
-1.644650,
-20.424500,
3.667251,
1.788823,
1.343421,
0.685201,
0.691648,
0.505386,
0.777688,
0.533359,
1.256229,
0.917009,
1.164518,
1.764051,
2.358755,
13.762702,
-2.535373,
-1.181230,
-1.564592,
-0.881612,
-0.476726,
-0.439715,
-0.221131,
-0.911840,
-0.146908,
0.459542,
-0.714645,
-0.441342,
-0.495888,
11.797975,
-6.164139,
-2.651425,
-1.658277,
-1.336097,
-0.948593,
-0.577715,
-0.987381,
-0.865466,
-1.190826,
-1.299167,
-2.066633,
-1.663059,
-3.055985,
-18.784217,
9.310295,
2.884724,
2.190414,
1.198133,
0.144712,
1.187751,
0.410294,
0.722553,
0.073438,
0.588748,
1.146137,
0.954181,
1.056768,
4.052943,
-1.810826,
-1.097448,
-0.557251,
-0.495284,
-0.276494,
-0.273773,
-0.369010,
-0.269714,
-0.447576,
-0.500845,
-0.318502,
-0.599483,
-0.673601,
-2.510925,
1.771973,
0.805630,
0.596379,
0.333052,
0.251095,
0.220318,
0.249351,
0.101112,
0.100664,
0.181572,
0.323308,
0.174571,
0.344591,
1.099610,
-0.685966,
-0.245243,
-0.201248,
-0.109572,
-0.102790,
-0.084909,
-0.156705,
-0.112498,
-0.092804,
-0.109495,
-0.102467,
-0.062980,
-0.188836,
-0.744563,
0.789966,
0.244265,
0.162328,
0.123296,
0.031513,
0.172347,
0.070517,
0.014818,
-0.029968,
0.083113,
0.134408,
0.083767,
0.198960,
0.580929,
-0.800747,
-0.219506,
-0.139050,
-0.012831,
-0.099535,
-0.076137,
-0.209096,
-0.085598,
-0.144424,
-0.141296,
-0.121464,
-0.018059,
-0.246742,
-0.679564,
1.354550,
0.471414,
0.240941,
0.166008,
0.076734,
0.132108,
0.050481,
0.040185,
0.017483,
0.170786,
0.206524,
0.164119,
0.357813,
0.922385,
-1.651212,
-0.354837,
-0.101056,
0.234425,
-0.123974,
-0.283231,
-0.255189,
-0.331429,
0.114953,
-0.258989,
-0.460435,
0.059985,
-0.174671,
0.034510,
1.659726,
0.720946,
0.474230,
0.198241,
0.223984,
0.024190,
0.269382,
0.087440,
0.190053,
-0.018467,
0.079540,
0.201761,
-0.027796,
0.034694,
-0.268005,
-0.145214,
-0.135291,
-0.034963,
0.068108,
-0.024783,
-0.015718,
-0.002828,
0.053750,
-0.038633,
-0.021070,
0.032161,
0.066536,
0.043977,
0.598744,
0.257792,
0.152363,
0.079069,
0.103813,
-0.010169,
0.046976,
0.044056,
0.145739,
-0.012547,
0.013386,
0.123443,
-0.035640,
-0.000072,
-0.429074,
-0.005053,
-0.119132,
0.043352,
0.047702,
-0.002550,
0.008248,
0.046433,
0.171969,
0.070214,
0.165622,
0.148290,
-0.089790,
-0.071971,
-0.014533,
0.047595,
-0.017838,
-0.043563,
0.058216,
0.043185,
0.134881,
-0.006996,
-0.206120,
0.220010,
0.117239,
-0.097304,
0.092695,
0.048834,
-0.115819,
-0.081974,
0.000581,
0.039949,
-0.034010,
-0.078047,
-0.080445,
-0.050334,
0.227057,
-0.205881,
0.089966,
0.092042,
0.084007,
0.048880,
0.029754,
0.036411,
0.037628,
-0.003116,
0.002207,
0.108155,
0.084257,
-0.063480,
-0.439450,
0.588847,
0.147073,
-0.023157,
0.081214,
0.084052,
-0.099934,
-0.149590,
-0.049741,
0.130661,
-0.094871,
0.021619,
-0.113499,
0.224538,
1.002851,
-1.290596,
0.313618,
0.192584,
0.494781,
0.149874,
-0.265380,
0.480403,
0.038921,
0.234606,
-0.029351,
