-0.055115,
-0.032257,
-0.026215,
-0.137726,
-0.176300,
-0.143677,
-0.129547,
-0.102112,
-0.156372,
-0.223999,
-0.201019,
-0.149628,
-0.062622,
0.014648,
0.079254,
0.144440,
0.142029,
0.181244,
0.212921,
0.340759,
0.282745,
-0.002472,
-0.130066,
-0.187103,
0.004272,
0.230713,
0.282837,
0.188812,
0.010376,
-0.110077,
-0.074768,
-0.050140,
-0.000214,
-0.053345,
-0.104645,
-0.088593,
-0.071564,
-0.049164,
-0.066650,
-0.171295,
-0.154297,
-0.139038,
-0.118103,
-0.112091,
-0.185211,
-0.223389,
-0.188263,
-0.135284,
-0.035980,
0.036407,
0.135620,
0.161621,
0.148254,
0.186035,
0.233490,
0.384521,
0.224731,
-0.037384,
-0.165039,
-0.185516,
0.068787,
0.267456,
0.283936,
0.160767,
-0.040710,
-0.119965,
-0.077850,
-0.047913,
0.001556,
-0.077484,
-0.107666,
-0.097931,
-0.079346,
-0.077454,
-0.124908,
-0.147858,
-0.113220,
-0.112946,
-0.107635,
-0.168671,
-0.232300,
-0.228821,
-0.179688,
-0.093903,
0.004486,
0.096558,
0.170166,
0.149109,
0.172546,
0.186523,
0.300049,
0.393280,
0.117096,
-0.087006,
-0.212738,
-0.138336,
0.166046,
0.303284,
0.276917,
0.105499,
-0.100800,
-0.119568,
-0.090515,
-0.035767,
-0.014893,
-0.100220,
-0.100525,
-0.091278,
-0.082977,
-0.073273,
-0.146698,
-0.157806,
-0.121368,
-0.127930,
-0.113678,
-0.183929,
-0.232269,
-0.217010,
-0.162872,
-0.067566,
0.048340,
0.133789,
0.190979,
0.143982,
0.183777,
0.218048,
0.397888,
0.317749,
0.010590,
-0.155212,
-0.243347,
-0.024780,
0.254822,
0.325134,
0.238922,
0.012756,
-0.138641,
-0.115875,
-0.086884,
-0.011414,
-0.053680,
-0.105988,
-0.086670,
-0.089264,
-0.070648,
-0.111694,
-0.158051,
-0.141571,
-0.126221,
-0.121918,
-0.128204,
-0.205231,
-0.234955,
-0.216156,
-0.143646,
-0.030975,
0.088257,
0.176086,
0.182739,
0.158081,
0.174072,
0.247192,
0.424194,
0.221375,
-0.029938,
-0.197296,
-0.208649,
0.075073,
0.292816,
0.324799,
0.185638,
-0.054077,
-0.133972,
-0.112396,
-0.059082,
0.000427,
-0.079407,
-0.093201,
-0.090576,
-0.090790,
-0.070587,
-0.126709,
-0.131592,
-0.110840,
-0.138458,
-0.133301,
-0.185974,
-0.221344,
-0.217377,
-0.194855,
-0.101532,
0.001801,
0.109924,
0.191223,
0.155945,
0.183167,
0.201202,
0.353058,
0.406464,
0.088806,
-0.114258,
-0.264923,
-0.124481,
0.205200,
0.349274,
0.307617,
0.098053,
-0.125793,
-0.132751,
-0.107330,
-0.019348,
-0.012756,
-0.090790,
-0.082336,
-0.078247,
-0.070496,
-0.067993,
-0.176483,
-0.167542,
-0.135162,
-0.119995,
-0.091339,
-0.175110,
-0.246002,
-0.236267,
-0.184296,
-0.049927,
0.063660,
0.152252,
0.190918,
0.149719,
0.199585,
0.253937,
0.424774,
0.280273,
-0.029999,
-0.203339,
-0.242523,
0.030701,
0.300934,
0.355377,
0.228241,
-0.024689,
-0.150970,
-0.122345,
-0.068573,
0.008423,
-0.050537,
-0.098877,
-0.074768,
-0.076965,
-0.065247,
-0.120453,
-0.170441,
-0.123566,
-0.089722,
-0.086823,
-0.162354,
-0.251953,
-0.271851,
-0.204346,
-0.111481,
0.007324,
0.090393,
0.171051,
0.155457,
0.163116,
0.194244,
0.315430,
0.419128,
0.153534,
-0.076019,
-0.237854,
-0.166046,
0.144714,
0.327576,
0.323273,
0.144989,
-0.090210,
-0.133942,
-0.108063,
-0.032043,
-0.002106,
-0.080719,
-0.091827,
-0.070648,
-0.063965,
-0.047516,
-0.153412,
-0.209045,
-0.147247,
-0.119293,
-0.067261,
-0.125610,
-0.231354,
-0.246246,
-0.211639,
-0.101715,
0.034882,
0.114594,
0.201721,
0.156738,
0.178192,
0.223083,
0.383026,
0.348785,
0.043976,
-0.156616,
-0.253021,
-0.049652,
0.246399,
0.351379,
0.268250,
0.036346,
-0.136597,
-0.126709,
-0.079071,
0.005829,
-0.029480,
-0.098572,
-0.094604,
-0.074158,
-0.049713,
-0.098450,
-0.176056,
-0.157745,
-0.136261,
-0.102905,
-0.115753,
-0.190552,
-0.230804,
-0.218689,
-0.152954,
-0.053680,
0.044342,
0.149048,
0.179810,
0.169342,
0.203888,
0.264862,
0.424774,
0.223053,
-0.035797,
-0.198364,
-0.209381,
0.077606,
0.302002,
0.330719,
0.198212,
-0.052185,
-0.138489,
-0.114075,
-0.050415,
0.014404,
-0.061035,
-0.097198,
-0.087036,
-0.080750,
-0.068817,
-0.146149,
-0.162933,
-0.117584,
-0.096161,
-0.092438,
-0.162537,
-0.244598,
-0.245148,
-0.198273,
-0.103943,
-0.001495,
0.081085,
0.167236,
0.160278,
0.186615,
0.216553,
0.324738,
0.401337,
0.114929,
-0.088409,
-0.226776,
-0.134857,
0.169891,
0.323395,
0.303467,
0.126404,
-0.100403,
-0.132263,
-0.111267,
-0.033691,
-0.013062,
-0.087952,
-0.091675,
-0.077271,
-0.061615,
-0.080658,
-0.189362,
-0.203583,
-0.152008,
-0.110077,
-0.081268,
-0.148163,
-0.225311,
-0.235657,
-0.191193,
-0.084045,
0.030640,
0.138092,
0.196014,
0.186127,
0.214081,
0.246643,
0.394836,
0.236633,
-0.024750,
-0.186462,
-0.206818,
0.052979,
0.280060,
0.325806,
0.206787,
-0.032623,
-0.139252,
-0.125610,
-0.071533,
0.000671,
-0.057770,
-0.094269,
-0.089386,
-0.080017,
-0.082336,
-0.145813,
-0.202911,
-0.160461,
-0.117798,
-0.083252,
-0.119385,
-0.204895,
-0.242523,
-0.209320,
-0.128143,
-0.000244,
0.096649,
0.177185,
0.171143,
0.195587,
0.223145,
0.344482,
0.369751,
0.080841,
-0.122406,
-0.233429,
-0.084717,
0.204224,
0.324097,
0.271881,
0.069672,
-0.118286,
-0.126984,
-0.095245,
-0.020172,
-0.026825,
-0.104248,
-0.097107,
-0.093262,
-0.055023,
-0.114288,
-0.198334,
-0.185028,
-0.150940,
-0.090424,
-0.089630,
-0.174927,
-0.226868,
-0.237549,
-0.173431,
-0.062439,
0.035004,
0.143250,
0.189514,
0.185638,
0.225098,
0.264343,
0.415039,
0.229889,
-0.046570,
-0.187836,
-0.199005,
0.070374,
0.294922,
0.315216,
0.192474,
-0.040466,
-0.140106,
-0.112488,
-0.067352,
-0.000977,
-0.067352,
-0.107910,
-0.094086,
-0.089172,
